service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7136:100-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:101-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:102-5-63,1,1,1,1,1,1,0,20240722,20241220
7136:103-5-36,0,0,1,0,0,1,0,20240722,20241218
7136:104-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:10-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:105-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:106-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:107-5-31,1,1,1,1,1,0,0,20240902,20241220
7136:108-5-15,1,1,1,1,0,0,0,20240902,20241219
7136:11-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:12-5-127,1,1,1,1,1,1,1,20240722,20241229
7136:13-5-127,1,1,1,1,1,1,1,20240722,20241231
7136:14-5-36,0,0,1,0,0,1,0,20240722,20241218
7136:1-5-16,0,0,0,0,1,0,0,20240722,20241227
7136:15-5-16,0,0,0,0,1,0,0,20240722,20241220
7136:16-5-11,1,1,0,1,0,0,0,20240722,20241219
7136:17-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:18-5-32,0,0,0,0,0,1,0,20240722,20241228
7136:19-5-127,1,1,1,1,1,1,1,20240722,20241220
7136:20-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:21-5-127,1,1,1,1,1,1,1,20240722,20241231
7136:22-5-4,0,0,1,0,0,0,0,20240722,20241030
7136:23-5-1,1,0,0,0,0,0,0,20240722,20241216
7136:24-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:2-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:25-5-32,0,0,0,0,0,1,0,20240722,20241214
7136:26-5-17,1,0,0,0,1,0,0,20240722,20241220
7136:27-5-21,1,0,1,0,1,0,0,20240722,20241230
7136:28-5-21,1,0,1,0,1,0,0,20240722,20241230
7136:29-5-3,1,1,0,0,0,0,0,20240722,20241217
7136:30-5-24,0,0,0,1,1,0,0,20240722,20241220
7136:31-5-2,0,1,0,0,0,0,0,20240722,20241231
7136:32-5-30,0,1,1,1,1,0,0,20240722,20241220
7136:33-5-59,1,1,0,1,1,1,0,20240722,20241231
7136:34-5-15,1,1,1,1,0,0,0,20240722,20241219
7136:3-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:36-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:37-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:38-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:39-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:40-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:41-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:42-5-1,1,0,0,0,0,0,0,20240722,20241216
7136:43-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:44-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:4-5-18,0,1,0,0,1,0,0,20240722,20241231
7136:45-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:46-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:47-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:48-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:49-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:50-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:51-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:52-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:53-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:54-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:5-5-27,1,1,0,1,1,0,0,20240722,20241231
7136:55-5-27,1,1,0,1,1,0,0,20240722,20241231
7136:56-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:57-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:58-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:59-5-63,1,1,1,1,1,1,0,20240722,20241220
7136:60-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:61-5-59,1,1,0,1,1,1,0,20240722,20241231
7136:62-5-36,0,0,1,0,0,1,0,20240722,20241218
7136:63-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:64-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:65-5-63,1,1,1,1,1,1,0,20240722,20241220
7136:6-5-63,1,1,1,1,1,1,0,20240722,20241220
7136:66-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:67-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:68-5-36,0,0,1,0,0,1,0,20240722,20241218
7136:69-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:70-5-4,0,0,1,0,0,0,0,20240722,20241218
7136:71-5-31,1,1,1,1,1,0,0,20240722,20241220
7136:72-5-31,1,1,1,1,1,0,0,20240722,20241231
7136:73-5-63,1,1,1,1,1,1,0,20240722,20241231
7136:74-5-27,1,1,0,1,1,0,0,20240722,20241220
7136:7-5-36,0,0,1,0,0,1,0,20240722,20241228
7136:75-5-31,1,1,1,1,1,0,0,20240722,20241220
