service_id,date,exception_type
7136:100-5-31,20240722,2
7136:100-5-31,20240723,2
7136:100-5-31,20240724,2
7136:100-5-31,20240725,2
7136:100-5-31,20240726,2
7136:100-5-31,20240729,2
7136:100-5-31,20240730,2
7136:100-5-31,20240731,2
7136:100-5-31,20240801,2
7136:100-5-31,20240802,2
7136:100-5-31,20240805,2
7136:100-5-31,20240806,2
7136:100-5-31,20240807,2
7136:100-5-31,20240808,2
7136:100-5-31,20240809,2
7136:100-5-31,20240812,2
7136:100-5-31,20240813,2
7136:100-5-31,20240814,2
7136:100-5-31,20240815,2
7136:100-5-31,20240816,2
7136:100-5-31,20240819,2
7136:100-5-31,20240820,2
7136:100-5-31,20240821,2
7136:100-5-31,20240822,2
7136:100-5-31,20240823,2
7136:100-5-31,20240826,2
7136:100-5-31,20240827,2
7136:100-5-31,20240828,2
7136:100-5-31,20240829,2
7136:100-5-31,20240830,2
7136:100-5-31,20241021,2
7136:100-5-31,20241022,2
7136:100-5-31,20241023,2
7136:100-5-31,20241024,2
7136:100-5-31,20241025,2
7136:100-5-31,20241028,2
7136:100-5-31,20241029,2
7136:100-5-31,20241030,2
7136:100-5-31,20241031,2
7136:100-5-31,20241101,2
7136:100-5-31,20241111,2
7136:101-5-31,20240722,2
7136:101-5-31,20240723,2
7136:101-5-31,20240724,2
7136:101-5-31,20240725,2
7136:101-5-31,20240726,2
7136:101-5-31,20240729,2
7136:101-5-31,20240730,2
7136:101-5-31,20240731,2
7136:101-5-31,20240801,2
7136:101-5-31,20240802,2
7136:101-5-31,20240805,2
7136:101-5-31,20240806,2
7136:101-5-31,20240807,2
7136:101-5-31,20240808,2
7136:101-5-31,20240809,2
7136:101-5-31,20240812,2
7136:101-5-31,20240813,2
7136:101-5-31,20240814,2
7136:101-5-31,20240815,2
7136:101-5-31,20240816,2
7136:101-5-31,20240819,2
7136:101-5-31,20240820,2
7136:101-5-31,20240821,2
7136:101-5-31,20240822,2
7136:101-5-31,20240823,2
7136:101-5-31,20240826,2
7136:101-5-31,20240827,2
7136:101-5-31,20240828,2
7136:101-5-31,20240829,2
7136:101-5-31,20240830,2
7136:101-5-31,20241021,2
7136:101-5-31,20241022,2
7136:101-5-31,20241023,2
7136:101-5-31,20241024,2
7136:101-5-31,20241025,2
7136:101-5-31,20241028,2
7136:101-5-31,20241029,2
7136:101-5-31,20241030,2
7136:101-5-31,20241031,2
7136:101-5-31,20241101,2
7136:101-5-31,20241111,2
7136:102-5-63,20240722,2
7136:102-5-63,20240723,2
7136:102-5-63,20240724,2
7136:102-5-63,20240725,2
7136:102-5-63,20240726,2
7136:102-5-63,20240727,2
7136:102-5-63,20240729,2
7136:102-5-63,20240730,2
7136:102-5-63,20240731,2
7136:102-5-63,20240801,2
7136:102-5-63,20240802,2
7136:102-5-63,20240803,2
7136:102-5-63,20240805,2
7136:102-5-63,20240806,2
7136:102-5-63,20240807,2
7136:102-5-63,20240808,2
