route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1003917,39,"54D360","SALONNES-MANHOUE-NANCY",,204,,FFFFFF,000000
1003918,39,"54D460","FAVIERES-COLOMBEY-TOUL",,204,,FFFFFF,000000
1004053,39,"54M110","MARVILLE-LONGUYON",,204,,FFFFFF,000000
1004054,39,"54M120","ALLONDRELLE-LA-MALMAISON - LONGUYON",,204,,FFFFFF,000000
1004055,39,"54M130","MERCY LE HAUT-LONGUYON",,204,,FFFFFF,000000
1004056,39,"54M210","FILLIERES-LONGWY",,204,,FFFFFF,000000
1004061,39,"54R060","VILLERUPT-BRIEY-METZ",,204,,FFFFFF,000000
1004062,39,"54R330","PONT A MOUSSON - NANCY",,204,,FFFFFF,000000
1004063,39,"54R350","CHATEAU SALINS-NANCY",,204,,FFFFFF,000000
1004064,39,"54R360","MANHOUE-NANCY",,204,,FFFFFF,000000
1004066,39,"54R380","ECUELLE-NANCY",,204,,FFFFFF,000000
1004067,39,"54R410","TOUL - NANCY",,204,,FFFFFF,000000
1004068,39,"54R570","FAVIERES - COLOMBEY -NANCY",,204,,FFFFFF,000000
1004069,39,"54R580","GRIMONVILLER - VEZELISE - NANCY",,204,,FFFFFF,000000
1004071,39,"54R650","LUNEVILLE-NANCY",,204,,FFFFFF,000000
1004072,39,"54R670","CHARMES-NANCY",,204,,FFFFFF,000000
1004073,39,"54R710","BADONVILLER-CIREY-LUNEVILLE",,204,,FFFFFF,000000
1004074,39,"54R800","RAMBERVILLERS - LUNEVILLE",,204,,FFFFFF,000000
1004082,39,"54S030","LONGUYON - Ets BRIEY",,204,,FFFFFF,000000
1004083,39,"54S040","Ottange - Collège Aumetz",,204,,FFFFFF,000000
1004084,39,"54S041","Ottange - Collège Aumetz",,204,,FFFFFF,000000
1004085,39,"54S043","Rochonvillers - Collège Aumetz",,204,,FFFFFF,000000
1004086,39,"54S045","C. Audun-Le-Tiche",,204,,FFFFFF,000000
1004087,39,"54S100","C. E.Gallé Lexy",,204,,FFFFFF,000000
1004091,39,"54S104","C. E.Gallé Lexy",,204,,FFFFFF,000000
1004092,39,"54S106","C. E.Gallé Lexy",,204,,FFFFFF,000000
1004093,39,"54S107","Segpa E.Gallé Lexy",,204,,FFFFFF,000000
1004094,39,"54S110","Etablissements Verdun",,204,,FFFFFF,000000
1004095,39,"54S111","Navette LP Mont-Saint-Martin",,204,,FFFFFF,000000
1004096,39,"54S112","Navette LP Reiser",,204,,FFFFFF,000000
1004097,39,"54S113","Navette Longwy",,204,,FFFFFF,000000
1004098,39,"54S114","Etablissements Longwy",,204,,FFFFFF,000000
1004099,39,"54S115","Etablissements Longwy",,204,,FFFFFF,000000
1004100,39,"54S116","Etablissements Longwy",,204,,FFFFFF,000000
1004101,39,"54S117","Etablissements Longwy",,204,,FFFFFF,000000
1004103,39,"54S119","Etablissements Longwy",,204,,FFFFFF,000000
1004104,39,"54S120","Etablissements Longwy",,204,,FFFFFF,000000
1004105,39,"54S121","Etablissements Longwy",,204,,FFFFFF,000000
1004106,39,"54S122","Etablissements Longwy",,204,,FFFFFF,000000
1004107,39,"54S130","LONGWY - LP ALGRANGE",,204,,FFFFFF,000000
1004108,39,"54S135","LP St Andre OTTANGE",,204,,FFFFFF,000000
1004109,39,"54S140","C. P. Verlaine Longuyon",,204,,FFFFFF,000000
1004110,39,"54S141","C. P. Verlaine Longuyon",,204,,FFFFFF,000000
1004111,39,"54S142","C. P. Verlaine Longuyon",,204,,FFFFFF,000000
1004112,39,"54S143","C. P. Verlaine Longuyon",,204,,FFFFFF,000000
1004113,39,"54S145","C. P. Verlaine Longuyon",,204,,FFFFFF,000000
1004114,39,"54S147","Navette Collèges de Longuyon",,204,,FFFFFF,000000
1004115,39,"54S152","C.Brossolette Rehon",,204,,FFFFFF,000000
1004116,39,"54S155","Etablissements de Thionville",,204,,FFFFFF,000000
1004117,39,"54S156","C+Segpa+LP Villerupt",,204,,FFFFFF,000000
1004118,39,"54S157","NavetteVillerupt-Crusnes",,204,,FFFFFF,000000
1004119,39,"54S207","LP J.Morette Landres NAVETTE",,204,,FFFFFF,000000
