stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11,11,"Château de Montaigu",,48.6652886,6.2165842,,,1,,,
45474,5401545A,"LANEUVEVILLE-DEVANT-NANCY Chateau de Montaigu",,48.6653089,6.216425,,,0,11,,
45475,5401546A,"LANEUVEVILLE-DEVANT-NANCY Chateau de Montaigu",,48.6653879,6.216498,,,0,11,,
17,17,"L'Atelier",,48.6687068,6.2078456,,,1,,,
45451,5401509A,"JARVILLE-LA-MALGRANGE Atelier",,48.6684439,6.207958,,,0,17,,
45452,5401510A,"JARVILLE-LA-MALGRANGE Atelier",,48.6687519,6.207898,,,0,17,,
18,18,"Place Charles III - Point Central",,48.6892557,6.1826139,,,1,,,
45601,5401715A,"NANCY STAN Point Central",,48.6891009,6.1822131,,,0,18,,
23,23,"Place Carnot",,48.693471,6.1773728,,,1,,,
45599,5401713A,"NANCY Place Carnot",,48.6938779,6.1779431,,,0,23,,
45600,5401714A,"NANCY Place Carnot",,48.6928429,6.1769341,,,0,23,,
35,35,"Laneuveville Piscine",,48.6592094,6.2276932,,,1,,,
45472,5401543A,"LANEUVEVILLE-DEVANT-NANCY Piscine",,48.6591539,6.227651,,,0,35,,
45473,5401544A,"LANEUVEVILLE-DEVANT-NANCY Piscine",,48.6592799,6.227645,,,0,35,,
37,37,"Mairie",,48.656524,6.2311268,,,1,,,
45476,5401547A,"LANEUVEVILLE-DEVANT-NANCY Mairie",,48.6563949,6.231122,,,0,37,,
45477,5401548A,"LANEUVEVILLE-DEVANT-NANCY Mairie",,48.6566199,6.231123,,,0,37,,
57,57,"Hôpital Central-Maternité",,48.6826752,6.1912773,,,1,,,
45585,5401698A,"NANCY STAN Hôpital central",,48.6830569,6.1908411,,,0,57,,
45586,5401699A,"NANCY STAN Hôpital central",,48.6833709,6.1899491,,,0,57,,
63,63,"Mairie",,48.6734497,6.202282,,,1,,,
45449,5401507A,"JARVILLE-LA-MALGRANGE Mairie",,48.6732729,6.2024871,,,0,63,,
45450,5401508A,"JARVILLE-LA-MALGRANGE Mairie",,48.6739739,6.201809,,,0,63,,
86,86,"Carsat",,48.7031914,6.170431,,,1,,,
45595,5401709A,"NANCY STAN Carsat",,48.7032869,6.1704661,,,0,86,,
45596,5401710A,"NANCY STAN Carsat",,48.7031339,6.1703711,,,0,86,,
90,90,"NANCY STAN Désilles",,48.6981789,6.1740296,,,1,,,
45597,5401711A,"NANCY STAN Désilles",,48.6982749,6.1742201,,,0,90,,
45598,5401712A,"NANCY STAN Désilles",,48.6980829,6.1738391,,,0,90,,
142,142,"MONTIGNY-SUR-CHIERS La Roche - arrêt TER",,49.4764189,5.6575088,,,1,,,
44691,5400462A,"MONTIGNY-SUR-CHIERS La Roche - arrêt TER",,49.4765023,5.6575031,,,0,142,,
44692,5400463A,"MONTIGNY-SUR-CHIERS La Roche - arrêt TER",,49.4763493,5.6575091,,,0,142,,
143,143,"VITRIMONT Ecole",,48.6010119,6.440562,,,1,,,
45212,5401181A,"VITRIMONT Ecole",,48.6010119,6.440562,,,0,143,,
145,145,"MANONVILLER Mairie",,48.5823134,6.6513375,,,1,,,
45060,5400983A,"MANONVILLER Mairie",,48.5822369,6.651339,,,0,145,,
45061,5400984A,"MANONVILLER Mairie",,48.5823899,6.651336,,,0,145,,
146,146,"LANEUVEVILLE-AUX-BOIS Calvaire",,48.6099014,6.647471,,,1,,,
45033,5400948A,"LANEUVEVILLE-AUX-BOIS Calvaire",,48.6099089,6.647526,,,0,146,,
45034,5400949A,"LANEUVEVILLE-AUX-BOIS Calvaire",,48.6098939,6.647416,,,0,146,,
147,147,"CROISMARE Alsace",,48.5984769,6.570501,,,1,,,
44918,5400808A,"CROISMARE Alsace",,48.5984769,6.570501,,,0,147,,
148,148,"MARAINVILLER Charles Chatton",,48.5867839,6.600866,,,1,,,
45062,5400985A,"MARAINVILLER Charles Chatton",,48.5867839,6.600866,,,0,148,,
150,150,"HERIMENIL Ecole",,48.5682959,6.496834,,,1,,,
45012,5400921A,"HERIMENIL Ecole",,48.5682959,6.496834,,,0,150,,
151,151,"MAGNIERES Lotissement",,48.4495592,6.563616,,,1,,,
45055,5400978A,"MAGNIERES Lotissement",,48.4495089,6.56359,,,0,151,,
45056,5400979A,"MAGNIERES Lotissement",,48.4496599,6.563668,,,0,151,,
152,152,"Longuyon",,49.4442686,5.6045218,,,1,,,
44650,5400380A,"LONGUYON Gare SNCF",,49.4439853,5.6044631,,,0,152,,
159,159,"MARBACHE SIT Faubourg",,48.7977329,6.1079216,,,1,,,
45541,5401634A,"MARBACHE SIT Faubourg",,48.7978169,6.1077971,,,0,159,,
45542,5401635A,"MARBACHE SIT Faubourg",,48.7976489,6.1080461,,,0,159,,
160,160,"MARBACHE SIT Grande Chevreuse",,48.7912889,6.1129041,,,1,,,
45543,5401636A,"MARBACHE SIT Grande Chevreuse",,48.7914649,6.1125401,,,0,160,,
45544,5401637A,"MARBACHE SIT Grande Chevreuse",,48.7911129,6.1132681,,,0,160,,
161,161,"MARBACHE SIT Petite chevreuse",,48.7885514,6.1188301,,,1,,,
45545,5401638A,"MARBACHE SIT Petite chevreuse",,48.7885699,6.1186471,,,0,161,,
45546,5401639A,"MARBACHE SIT Petite chevreuse",,48.7885329,6.1190131,,,0,161,,
164,164,"Point Central",,48.7592684,6.1339664,,,1,,,
45408,5401454A,"FROUARD SUB Point Central",,48.7594899,6.1336821,,,0,164,,
45409,5401455A,"FROUARD SUB Point Central",,48.7591229,6.1342861,,,0,164,,
166,166,"La Rouchotte",,48.7399138,6.1587563,,,1,,,
45303,5401320A,"CHAMPIGNEULLES SUB La Rouchotte",,48.7399029,6.1586351,,,0,166,,
45304,5401321A,"CHAMPIGNEULLES SUB La Rouchotte",,48.7399519,6.1588021,,,0,166,,
175,175,"FAULX Pré-Fourot",,48.7930204,6.2051891,,,1,,,
45375,5401417A,"FAULX Pré-Fourot",,48.7929759,6.2051591,,,0,175,,
45376,5401418A,"FAULX Pré-Fourot",,48.7930649,6.2052191,,,0,175,,
176,176,"FAULX Mairie",,48.7921284,6.2000736,,,1,,,
45371,5401413A,"FAULX Mairie",,48.7921509,6.2001231,,,0,176,,
45372,5401414A,"FAULX Mairie",,48.7921059,6.2000241,,,0,176,,
178,178,"FAULX Moulin",,48.7892294,6.1889361,,,1,,,
45373,5401415A,"FAULX Moulin",,48.7892799,6.1889121,,,0,178,,
45374,5401416A,"FAULX Moulin",,48.7891789,6.1889601,,,0,178,,
180,180,"MALLELOY Moulin",,48.7944338,6.159692,,,1,,,
45526,5401616A,"MALLELOY Moulin",,48.7944927,6.1599828,,,0,180,,
45527,5401617A,"MALLELOY Moulin",,48.7943749,6.1594011,,,0,180,,
191,191,"Marechal Foch",,48.6712644,5.9057198,,,1,,,
45859,5402119A,"DOMMARTIN-LES-TOUL Maréchal Foch",,48.6712159,5.9059001,,,0,191,,
45860,5402120A,"DOMMARTIN-LES-TOUL Maréchal Foch",,48.6713229,5.9055531,,,0,191,,
197,197,"Jet d'Eau",,48.5874222,6.0308594,,,1,,,
45788,5401974A,"VITERNE Jet d'eau",,48.5873829,6.0308131,,,0,197,,
45789,5401975A,"VITERNE Jet d'eau",,48.5874589,6.0308031,,,0,197,,
198,198,"Fontaine Hadie",,48.5871142,6.0365164,,,1,,,
45786,5401972A,"VITERNE T'MM Fontaine Hadié",,48.5870879,6.0365341,,,0,198,,
45787,5401973A,"VITERNE T'MM Fontaine Hadié",,48.5870899,6.0364661,,,0,198,,
199,199,"Champs Celieux",,48.5820864,6.0566436,,,1,,,
45518,5401608A,"MAIZIERES T'MM Champs Célieux",,48.5820439,6.0566741,,,0,199,,
45519,5401609A,"MAIZIERES T'MM Champs Célieux",,48.5821179,6.0566111,,,0,199,,
200,200,"Eglise",,48.5834411,6.0601983,,,1,,,
45522,5401612A,"MAIZIERES T'MM Eglise",,48.5834109,6.0602411,,,0,200,,
