from_stop_id,to_stop_id,transfer_type,min_transfer_time
44554,44553,0,
44556,44555,0,
44558,44557,0,
44560,44559,0,
44563,44562,0,
44565,44564,0,
44567,44566,0,
44568,44566,0,
44568,44567,0,
44569,44566,0,
44569,44567,0,
44569,44568,0,
44571,44570,0,
44573,44572,0,
44574,44572,0,
44574,44573,0,
44577,44576,0,
44579,44578,0,
44581,44580,0,
44583,44582,0,
44585,44584,0,
44588,44587,0,
44591,44590,0,
44592,44590,0,
44592,44591,0,
44594,44593,0,
44596,44595,0,
44599,44598,0,
44601,44600,0,
44605,44604,0,
44607,44606,0,
44610,44609,0,
44613,44612,0,
44617,44616,0,
44619,44618,0,
44620,44618,0,
44620,44619,0,
44621,44618,0,
44621,44619,0,
44621,44620,0,
44625,44624,0,
44627,44626,0,
44628,44626,0,
44628,44627,0,
44629,44626,0,
44629,44627,0,
44629,44628,0,
44632,44631,0,
44634,44633,0,
44636,44635,0,
44638,44637,0,
44640,44639,0,
44646,44645,0,
44647,44644,0,
44649,44648,0,
44651,44643,0,
44654,44653,0,
44655,44645,0,
44655,44646,0,
44656,44645,0,
44657,44645,0,
44657,44656,0,
44659,44658,0,
44660,44650,0,
44661,44650,0,
44661,44660,0,
44663,44662,0,
44664,44656,0,
44664,44657,0,
44668,44667,0,
44670,44669,0,
44672,44671,0,
44674,44673,0,
44676,44675,0,
44679,44678,0,
44681,44680,0,
44683,44682,0,
44686,44685,0,
44688,44687,0,
44690,44689,0,
44692,44691,0,
44695,44694,0,
44697,44696,0,
44699,44698,0,
44700,44696,0,
44701,44696,0,
44701,44700,0,
44705,44704,0,
44707,44706,0,
44709,44708,0,
44713,44712,0,
44715,44714,0,
44717,44716,0,
44720,44719,0,
44723,44722,0,
44728,44727,0,
44730,44729,0,
44732,44731,0,
44735,44734,0,
44737,44736,0,
44739,44738,0,
44741,44740,0,
44743,44742,0,
44745,44744,0,
44747,44746,0,
44748,44744,0,
44748,44745,0,
44749,44744,0,
44749,44745,0,
44749,44748,0,
44752,44751,0,
44754,44753,0,
44756,44755,0,
44758,44757,0,
44760,44759,0,
44762,44761,0,
44767,44766,0,
44769,44768,0,
44775,44774,0,
44777,44774,0,
44777,44775,0,
44779,44778,0,
44781,44780,0,
44783,44782,0,
44784,44780,0,
44784,44781,0,
44785,44781,0,
44785,44784,0,
44787,44786,0,
44790,44789,0,
44793,44792,0,
44796,44795,0,
44798,44797,0,
44800,44799,0,
44803,44802,0,
44806,44805,0,
44809,44808,0,
44811,44810,0,
44813,44812,0,
44815,44814,0,
44819,44818,0,
44822,44821,0,
44827,44826,0,
44829,44828,0,
44831,44830,0,
44832,44830,0,
44832,44831,0,
44833,44828,0,
44833,44829,0,
44833,44830,0,
44833,44832,0,
44834,44828,0,
44834,44829,0,
44836,44835,0,
44838,44837,0,
44842,44841,0,
44848,44844,0,
44855,44854,0,
44857,44856,0,
44860,44859,0,
44862,44861,0,
44864,44863,0,
44866,44865,0,
44868,44865,0,
44868,44866,0,
44869,44865,0,
44869,44866,0,
44869,44868,0,
44870,44863,0,
44870,44864,0,
44870,44865,0,
44870,44866,0,
44875,44874,0,
44878,44876,0,
44881,44880,0,
44883,44882,0,
44885,44884,0,
44894,44893,0,
44896,44895,0,
44898,44897,0,
44902,44901,0,
44904,44899,0,
44905,44899,0,
44906,44899,0,
44906,44904,0,
44906,44905,0,
44912,44911,0,
44913,44911,0,
44913,44912,0,
44914,44911,0,
44914,44912,0,
44914,44913,0,
44917,44916,0,
44922,44921,0,
44924,44923,0,
44928,44921,0,
44928,44922,0,
44929,44923,0,
44929,44924,0,
44935,44934,0,
44936,44934,0,
44936,44935,0,
44939,44938,0,
44941,44940,0,
44944,44943,0,
44946,44945,0,
44949,44948,0,
44953,44952,0,
44959,44958,0,
44961,44960,0,
44964,44963,0,
44966,44965,0,
44968,44967,0,
44970,44969,0,
44972,44971,0,
44975,44974,0,
44980,44979,0,
44981,44979,0,
44981,44980,0,
44982,44979,0,
44982,44980,0,
44982,44981,0,
44984,44983,0,
44986,44985,0,
44988,44987,0,
44991,44990,0,
44994,44993,0,
44996,44995,0,
44998,44997,0,
45000,44999,0,
45004,45003,0,
45009,45008,0,
45011,45010,0,
45014,45013,0,
45016,45015,0,
45020,45019,0,
45022,45021,0,
45024,45023,0,
45027,45026,0,
45029,45028,0,
45030,45028,0,
45030,45029,0,
45032,45031,0,
45034,45033,0,
45038,45037,0,
45043,45042,0,
45045,45042,0,
45045,45043,0,
45049,45048,0,
45052,45051,0,
45056,45055,0,
45061,45060,0,
45064,45063,0,
45065,45062,0,
45068,45067,0,
45069,45067,0,
45069,45068,0,
45070,45067,0,
45070,45068,0,
45070,45069,0,
45072,45071,0,
45075,45074,0,
45078,45077,0,
45080,45079,0,
45084,45083,0,
45086,45085,0,
45087,45083,0,
45087,45084,0,
45087,45085,0,
45090,45089,0,
45092,45091,0,
45094,45093,0,
45097,45096,0,
45100,45099,0,
45102,45101,0,
45103,45101,0,
45103,45102,0,
45107,45106,0,
45111,45110,0,
45115,45114,0,
45117,45116,0,
45119,45118,0,
45121,45118,0,
45121,45119,0,
45123,45122,0,
45126,45125,0,
45128,45127,0,
45132,45131,0,
45135,45134,0,
45136,45133,0,
45138,45137,0,
45143,45142,0,
45145,45144,0,
45147,45146,0,
45149,45148,0,
45151,45150,0,
45154,45153,0,
45156,45155,0,
45158,45157,0,
45162,45161,0,
45163,45161,0,
45163,45162,0,
45165,45164,0,
45166,45164,0,
45166,45165,0,
45167,45164,0,
45167,45165,0,
45167,45166,0,
45174,45173,0,
45180,45179,0,
45182,45181,0,
45190,45189,0,
45193,45192,0,
45195,45194,0,
45197,45196,0,
45198,45196,0,
45198,45197,0,
45200,45196,0,
45200,45197,0,
45200,45198,0,
45203,45202,0,
45205,45204,0,
45211,45210,0,
45214,45213,0,
45216,45215,0,
45221,45220,0,
45223,45222,0,
45225,45224,0,
45229,45228,0,
45239,45238,0,
45240,45238,0,
45240,45239,0,
45242,45241,0,
45244,45243,0,
45246,45245,0,
45248,45247,0,
45253,45252,0,
45255,45254,0,
45257,45256,0,
45260,45259,0,
45262,45261,0,
45264,45263,0,
45268,45267,0,
45271,45270,0,
45273,45272,0,
45277,45276,0,
