route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1003917,7136:3-5-63,1010247-1013118,"Nancy",,0,1011,,,
1004061,7136:3-5-63,1010413-1013309,"Metz",,0,823,,,
1004068,7136:3-5-63,1010457-1013415,"Nancy",,0,109,,,
1004783,7136:54-5-31,1012390-1015365,"Leyr",,1,760,,,
1004783,7136:56-5-4,1012390-1015366,"Leyr",,1,761,,,
1004788,7136:57-5-63,1012420-1015414,"Arraye-et-Han",,1,733,,,
1004788,7136:57-5-63,1012420-1015415,"Arraye-et-Han",,1,734,,,
1004788,7136:57-5-63,1012420-1015416,"Arraye-et-Han",,1,735,,,
1004788,7136:58-5-31,1012421-1015417,"Nomeny",,1,736,,,
1004789,7136:63-5-63,1024493-1031447,"Nomeny",,1,25,,,
1004789,7136:63-5-63,1024493-1031448,"Nomeny",,1,26,,,
1004789,7136:64-5-27,1024493-1031449,"Nomeny",,1,27,,,
1004789,7136:63-5-63,1024493-1031450,"Nomeny",,1,28,,,
1004068,7136:7-5-36,1010458-1013416,"Nancy",,0,110,,,
1004789,7136:63-5-63,1024493-1031451,"Nomeny",,1,29,,,
1005992,7136:74-5-27,1014849-1018242,"Thuilley-aux-Groseilles",,1,762,,,
1005992,7136:75-5-31,1014850-1018243,"Thuilley-aux-Groseilles",,1,741,,,
1008477,7136:98-5-127,1028873-1040730,"Toul",,1,30,,,
1008743,7136:103-5-36,1029657-1042170,"Gerbécourt-et-Haplemont",,1,1024,,,
1008743,7136:104-5-31,1029657-1042171,"Gerbécourt-et-Haplemont",,1,1025,,,
1008743,7136:101-5-31,1029657-1042172,"Gerbécourt-et-Haplemont",,1,1026,,,
1004069,7136:6-5-63,1010459-1013417,"Nancy",,0,982,,,
1004069,7136:8-5-31,1010461-1013419,"Nancy",,0,962,,,
1004069,7136:25-5-32,1010461-1013420,"Nancy",,0,963,,,
1004069,7136:8-5-31,1010462-1013421,"Nancy",,0,1017,,,
1004069,7136:6-5-63,1010463-1013422,"Nancy",,0,964,,,
1004069,7136:3-5-63,1010464-1013423,"Nancy",,0,793,,,
